Date,Sunrise CST,Sunset CST
1/1/2015,812,1649
1/2/2015,812,1650
1/3/2015,812,1651
1/4/2015,812,1652
1/5/2015,812,1653
1/6/2015,812,1654
1/7/2015,812,1655
1/8/2015,811,1656
1/9/2015,811,1658
1/10/2015,811,1659
1/11/2015,810,1700
1/12/2015,810,1701
1/13/2015,809,1703
1/14/2015,809,1704
1/15/2015,808,1705
1/16/2015,807,1707
1/17/2015,807,1708
1/18/2015,806,1709
1/19/2015,805,1711
1/20/2015,804,1712
1/21/2015,804,1714
1/22/2015,803,1715
1/23/2015,802,1716
1/24/2015,801,1718
1/25/2015,800,1719
1/26/2015,759,1721
1/27/2015,758,1722
1/28/2015,757,1724
1/29/2015,755,1725
1/30/2015,754,1727
1/31/2015,753,1728
2/1/2015,752,1730
2/2/2015,751,1731
2/3/2015,749,1733
2/4/2015,748,1735
2/5/2015,747,1736
2/6/2015,745,1738
2/7/2015,744,1739
2/8/2015,742,1741
2/9/2015,741,1742
2/10/2015,739,1744
2/11/2015,738,1745
2/12/2015,736,1747
2/13/2015,735,1748
2/14/2015,733,1750
2/15/2015,732,1751
2/16/2015,730,1753
2/17/2015,728,1754
2/18/2015,727,1756
2/19/2015,725,1757
2/20/2015,723,1759
2/21/2015,721,1801
2/22/2015,720,1802
2/23/2015,718,1803
2/24/2015,716,1805
2/25/2015,714,1806
2/26/2015,713,1808
2/27/2015,711,1809
2/28/2015,709,1811
3/1/2015,707,1812
3/2/2015,705,1814
3/3/2015,703,1815
3/4/2015,702,1817
3/5/2015,700,1818
3/6/2015,658,1820
3/7/2015,656,1821
3/8/2015,654,1822
3/9/2015,652,1824
3/10/2015,650,1825
3/11/2015,648,1827
3/12/2015,646,1828
3/13/2015,644,1830
3/14/2015,642,1831
3/15/2015,640,1832
3/16/2015,638,1834
3/17/2015,636,1835
3/18/2015,634,1837
3/19/2015,632,1838
3/20/2015,630,1839
3/21/2015,628,1841
3/22/2015,626,1842
3/23/2015,624,1844
3/24/2015,623,1845
3/25/2015,621,1846
3/26/2015,619,1848
3/27/2015,617,1849
3/28/2015,615,1851
3/29/2015,613,1852
3/30/2015,611,1853
3/31/2015,609,1855
4/1/2015,607,1856
4/2/2015,605,1857
4/3/2015,603,1859
4/4/2015,601,1900
4/5/2015,559,1901
4/6/2015,557,1903
4/7/2015,555,1904
4/8/2015,553,1906
4/9/2015,551,1907
4/10/2015,549,1908
4/11/2015,547,1910
4/12/2015,545,1911
4/13/2015,544,1912
4/14/2015,542,1914
4/15/2015,540,1915
4/16/2015,538,1917
4/17/2015,536,1918
4/18/2015,534,1919
4/19/2015,533,1921
4/20/2015,531,1922
4/21/2015,529,1923
4/22/2015,527,1925
4/23/2015,525,1926
4/24/2015,524,1928
4/25/2015,522,1929
4/26/2015,520,1930
4/27/2015,519,1932
4/28/2015,517,1933
4/29/2015,515,1934
4/30/2015,514,1936
5/1/2015,512,1937
5/2/2015,511,1938
5/3/2015,509,1940
5/4/2015,508,1941
5/5/2015,506,1942
5/6/2015,505,1944
5/7/2015,503,1945
5/8/2015,502,1946
5/9/2015,500,1948
5/10/2015,459,1949
5/11/2015,458,1950
5/12/2015,456,1951
5/13/2015,455,1953
5/14/2015,454,1954
5/15/2015,452,1955
5/16/2015,451,1956
5/17/2015,450,1958
5/18/2015,449,1959
5/19/2015,448,2000
5/20/2015,447,2001
5/21/2015,446,2002
5/22/2015,445,2003
5/23/2015,444,2005
5/24/2015,443,2006
5/25/2015,442,2007
5/26/2015,441,2008
5/27/2015,440,2009
5/28/2015,439,2010
5/29/2015,439,2011
5/30/2015,438,2012
5/31/2015,437,2013
6/1/2015,437,2014
6/2/2015,436,2015
6/3/2015,435,2015
6/4/2015,435,2016
6/5/2015,434,2017
6/6/2015,434,2018
6/7/2015,434,2018
6/8/2015,433,2019
6/9/2015,433,2020
6/10/2015,433,2021
6/11/2015,432,2021
6/12/2015,432,2022
6/13/2015,432,2022
6/14/2015,432,2023
6/15/2015,432,2023
6/16/2015,432,2024
6/17/2015,432,2024
6/18/2015,432,2024
6/19/2015,432,2025
6/20/2015,432,2025
6/21/2015,433,2025
6/22/2015,433,2025
6/23/2015,433,2025
6/24/2015,433,2026
6/25/2015,434,2026
6/26/2015,434,2026
6/27/2015,434,2026
6/28/2015,435,2026
6/29/2015,435,2025
6/30/2015,436,2025
7/1/2015,437,2025
7/2/2015,437,2025
7/3/2015,438,2025
7/4/2015,438,2024
7/5/2015,439,2024
7/6/2015,440,2023
7/7/2015,441,2023
7/8/2015,441,2022
7/9/2015,442,2022
7/10/2015,443,2021
7/11/2015,444,2021
7/12/2015,445,2020
7/13/2015,446,2019
7/14/2015,447,2019
7/15/2015,448,2018
7/16/2015,449,2017
7/17/2015,450,2016
7/18/2015,451,2015
7/19/2015,452,2014
7/20/2015,453,2013
7/21/2015,454,2012
7/22/2015,455,2011
7/23/2015,456,2010
7/24/2015,457,2009
7/25/2015,458,2008
7/26/2015,459,2007
7/27/2015,501,2006
7/28/2015,502,2005
7/29/2015,503,2003
7/30/2015,504,2002
7/31/2015,505,2001
8/1/2015,507,1959
8/2/2015,508,1958
8/3/2015,509,1957
8/4/2015,510,1955
8/5/2015,512,1954
8/6/2015,513,1952
8/7/2015,514,1951
8/8/2015,515,1949
8/9/2015,517,1948
8/10/2015,518,1946
8/11/2015,519,1944
8/12/2015,520,1943
8/13/2015,522,1941
8/14/2015,523,1940
8/15/2015,524,1938
8/16/2015,526,1936
8/17/2015,527,1934
8/18/2015,528,1933
8/19/2015,530,1931
8/20/2015,531,1929
8/21/2015,532,1927
8/22/2015,533,1926
8/23/2015,535,1924
8/24/2015,536,1922
8/25/2015,537,1920
8/26/2015,539,1918
8/27/2015,540,1916
8/28/2015,541,1914
8/29/2015,542,1913
8/30/2015,544,1911
8/31/2015,545,1909
9/1/2015,546,1907
9/2/2015,548,1905
9/3/2015,549,1903
9/4/2015,550,1901
9/5/2015,552,1859
9/6/2015,553,1857
9/7/2015,554,1855
9/8/2015,555,1853
9/9/2015,557,1851
9/10/2015,558,1849
9/11/2015,559,1847
9/12/2015,601,1845
9/13/2015,602,1843
9/14/2015,603,1841
9/15/2015,604,1839
9/16/2015,606,1837
9/17/2015,607,1835
9/18/2015,608,1833
9/19/2015,610,1831
9/20/2015,611,1829
9/21/2015,612,1827
9/22/2015,614,1825
9/23/2015,615,1823
9/24/2015,616,1821
9/25/2015,618,1819
9/26/2015,619,1817
9/27/2015,620,1815
9/28/2015,622,1813
9/29/2015,623,1811
9/30/2015,624,1809
10/1/2015,626,1807
10/2/2015,627,1805
10/3/2015,628,1803
10/4/2015,630,1801
10/5/2015,631,1759
10/6/2015,632,1757
10/7/2015,634,1755
10/8/2015,635,1753
10/9/2015,636,1752
