STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN,DAY
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-01,0,-13,-5,-19,1
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-02,0.02,-3,17,-11,2
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-03,0,-2,0,-9,3
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-04,0.04,-1,4,-13,4
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-05,0,-9,2,-23,5
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-06,0,0,17,-5,6
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-07,0,21,35,14,7
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-08,0,27,33,21,8
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-09,0,30,37,25,9
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-10,0.02,32,36,2,10
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-11,0.04,1,2,-13,11
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-12,0,-11,-2,-19,12
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-13,0,-11,1,-18,13
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-14,0.09,5,17,-3,14
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-15,0,-6,-3,-11,15
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-16,0,-8,6,-16,16
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-17,0,11,32,4,17
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-18,0,29,34,21,18
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-19,0,32,41,26,19
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-20,0,31,38,22,20
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-21,0,25,29,17,21
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-22,0,26,28,24,22
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-23,0,22,25,20,23
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-24,0,24,26,19,24
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-25,0,24,30,20,25
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-26,0,30,33,21,26
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-27,0,20,21,2,27
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-28,0,3,4,-2,28
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-29,0,0,10,-7,29
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-30,0,13,33,2,30
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-01-31,0,19,25,-1,31
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-01,0,-1,3,-7,32
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-02,0,1,17,-8,33
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-03,0.15,11,15,-11,34
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-04,0,-7,4,-16,35
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-05,0,0,6,-8,36
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-06,0.02,-4,10,-13,37
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-07,0,1,6,-12,38
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-08,0,-4,2,-14,39
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-09,0,-3,5,-15,40
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-10,0,-2,10,-11,41
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-11,0,6,14,-6,42
